Date,Event,Opponent,Map,Result,W/L
02/05/26,BLAST Rivals 2026 Season 1,GamerLegion,Mirage,13 - 1,W
30/04/26,BLAST Rivals 2026 Season 1,G2,Dust2,13 - 3,W
30/04/26,BLAST Rivals 2026 Season 1,G2,Overpass,11 - 13,L
30/04/26,BLAST Rivals 2026 Season 1,G2,Mirage,16 - 13,W
29/04/26,BLAST Rivals 2026 Season 1,FUT,Nuke,13 - 11,W
29/04/26,BLAST Rivals 2026 Season 1,FUT,Dust2,11 - 13,L
29/04/26,BLAST Rivals 2026 Season 1,FUT,Mirage,13 - 6,W
19/04/26,IEM Rio 2026,Spirit,Dust2,13 - 5,W
19/04/26,IEM Rio 2026,Spirit,Nuke,13 - 10,W
19/04/26,IEM Rio 2026,Spirit,Mirage,16 - 13,W
18/04/26,IEM Rio 2026,FURIA,Ancient,13 - 10,W
18/04/26,IEM Rio 2026,FURIA,Overpass,13 - 10,W
17/04/26,IEM Rio 2026,Natus Vincere,Dust2,13 - 6,W
17/04/26,IEM Rio 2026,Natus Vincere,Mirage,13 - 4,W
15/04/26,IEM Rio 2026,Falcons,Nuke,14 - 16,L
15/04/26,IEM Rio 2026,Falcons,Dust2,13 - 6,W
15/04/26,IEM Rio 2026,Falcons,Mirage,10 - 13,L
14/04/26,IEM Rio 2026,G2,Dust2,13 - 11,W
14/04/26,IEM Rio 2026,G2,Inferno,16 - 13,W
14/04/26,IEM Rio 2026,G2,Mirage,5 - 13,L
13/04/26,IEM Rio 2026,RED Canids,Overpass,13 - 6,W
13/04/26,IEM Rio 2026,RED Canids,Nuke,13 - 4,W
29/03/26,BLAST Open Rotterdam 2026,Natus Vincere,Dust2,13 - 10,W
29/03/26,BLAST Open Rotterdam 2026,Natus Vincere,Anubis,13 - 10,W
29/03/26,BLAST Open Rotterdam 2026,Natus Vincere,Inferno,13 - 7,W
28/03/26,BLAST Open Rotterdam 2026,Aurora,Nuke,13 - 5,W
28/03/26,BLAST Open Rotterdam 2026,Aurora,Inferno,13 - 5,W
23/03/26,BLAST Open Rotterdam 2026,PARIVISION,Inferno,16 - 12,W
23/03/26,BLAST Open Rotterdam 2026,PARIVISION,Mirage,13 - 9,W
21/03/26,BLAST Open Rotterdam 2026,The MongolZ,Overpass,16 - 13,W
21/03/26,BLAST Open Rotterdam 2026,The MongolZ,Mirage,13 - 4,W
19/03/26,BLAST Open Rotterdam 2026,9z,Nuke,13 - 5,W
19/03/26,BLAST Open Rotterdam 2026,9z,Overpass,13 - 3,W
22/02/26,PGL Cluj-Napoca 2026,PARIVISION,Inferno,16 - 13,W
22/02/26,PGL Cluj-Napoca 2026,PARIVISION,Dust2,13 - 4,W
22/02/26,PGL Cluj-Napoca 2026,PARIVISION,Overpass,13 - 10,W
21/02/26,PGL Cluj-Napoca 2026,The MongolZ,Dust2,13 - 3,W
21/02/26,PGL Cluj-Napoca 2026,The MongolZ,Mirage,16 - 13,W
20/02/26,PGL Cluj-Napoca 2026,Aurora,Overpass,13 - 10,W
20/02/26,PGL Cluj-Napoca 2026,Aurora,Inferno,13 - 8,W
16/02/26,PGL Cluj-Napoca 2026,MOUZ,Inferno,13 - 8,W
16/02/26,PGL Cluj-Napoca 2026,MOUZ,Dust2,13 - 5,W
15/02/26,PGL Cluj-Napoca 2026,The MongolZ,Nuke,13 - 4,W
15/02/26,PGL Cluj-Napoca 2026,The MongolZ,Dust2,13 - 4,W
15/02/26,PGL Cluj-Napoca 2026,The MongolZ,Mirage,10 - 13,L
14/02/26,PGL Cluj-Napoca 2026,G2,Anubis,13 - 8,W
14/02/26,PGL Cluj-Napoca 2026,G2,Inferno,8 - 13,L
14/02/26,PGL Cluj-Napoca 2026,G2,Mirage,13 - 11,W
08/02/26,IEM Kraków 2026,FURIA,Overpass,13 - 10,W
08/02/26,IEM Kraków 2026,FURIA,Nuke,13 - 2,W
08/02/26,IEM Kraków 2026,FURIA,Inferno,13 - 8,W
08/02/26,IEM Kraków 2026,FURIA,Mirage,11 - 13,L
07/02/26,IEM Kraków 2026,MOUZ,Dust2,13 - 6,W
07/02/26,IEM Kraków 2026,MOUZ,Nuke,13 - 7,W
03/02/26,IEM Kraków 2026,Aurora,Overpass,13 - 7,W
03/02/26,IEM Kraków 2026,Aurora,Ancient,25 - 22,W
02/02/26,IEM Kraków 2026,3DMAX,Dust2,13 - 6,W
02/02/26,IEM Kraków 2026,3DMAX,Inferno,13 - 6,W
31/01/26,IEM Kraków 2026,BC.Game,Overpass,13 - 5,W
31/01/26,IEM Kraków 2026,BC.Game,Dust2,13 - 8,W
24/01/26,BLAST Bounty 2026 Season 1 Finals,Falcons,Mirage,6 - 13,L
24/01/26,BLAST Bounty 2026 Season 1 Finals,Falcons,Anubis,13 - 4,W
24/01/26,BLAST Bounty 2026 Season 1 Finals,Falcons,Inferno,10 - 13,L
23/01/26,BLAST Bounty 2026 Season 1 Finals,GamerLegion,Dust2,13 - 11,W
23/01/26,BLAST Bounty 2026 Season 1 Finals,GamerLegion,Inferno,13 - 9,W
18/01/26,BLAST Bounty 2026 Season 1,EYEBALLERS,Overpass,13 - 8,W
18/01/26,BLAST Bounty 2026 Season 1,EYEBALLERS,Anubis,19 - 16,W
14/01/26,BLAST Bounty 2026 Season 1,Virtus.pro,Dust2,13 - 6,W
14/01/26,BLAST Bounty 2026 Season 1,Virtus.pro,Overpass,13 - 8,W
